Class Name, Desire to Take, Understanding, Workload, A+, A, A-, B+, B, B-, C+, C, C-, D+, D, D-, E 
ORTHO 765,,,,,,,,,,,,,,,,
ORTHO 768,,,,,,,,,,,,,,,,
ORTHO 770,,,,26%,35%,9%,15%,9%,3%,2%,<1%,<1%,<1%,<1%,<1%,<1%
ORTHO 772,,,,78%,22%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ORTHO 773,,,,,,,,,,,,,,,,
ORTHO 775,,,,,,,,,,,,,,,,
ORTHO 777,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ORTHO 778,,,,3%,88%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ORTHO 779,,,,,,,,,,,,,,,,
ORTHO 781,,,,,,,,,,,,,,,,
